web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582056445-2686","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Christoph","Im Kraftsport zu empfehlen!","19. Oktober 2019","Habe mir das „Nike Trikot“ als ambitionierter Kraftsportler für mein Training im Studio gekauft. Für meine Eckdaten, 182cm, 95kg, ca 13-15%kfa kann ich hier die Größe L empfehlen. Schweiß wird super absorbiert, Trikot hat eine super Passform, gerade für die kräftigeren Personen aus dem Bereich Kraftsport etc./ und die dementsprechend stärkeren Partien wie Schultern, Rücken, Amre, Brust, durch die Passform sehr zu empfehlen!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1582056457-2725","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kunde","Gutes Shirt","18. März 2018","Das Shirt ist für den Preis (~ 15 €) ok. Allerdings habe ich für unter 15 € zwei Under Armor Shirts geschossen mit denen ich persönlich besser klar komme. Angenehmer zu tragen, besserer Abtransport von Schweiß.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1582056440-2663","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sivan","Ein klasse Shirt für den Sport","29. Dezember 2018","Im Folgenden Werde ich näher auf einzelne Punkte eingehen und sie objektiv werten.

Verarbeitung:
Das Shirt ist sehr gut verarbeitet. Es gibt keine raushängenden Fäden o.ä. Auch nach mehreren Wäschen konnte ich nichts feststellen. Der Stoff ist angenehm und fühlt sich auf der Haut nicht störend an. Und dabei kostet es nur knapp um die 14 Euro.

Funktion:
Ich habe das Shirt nun mehrmals im Einsatz gehabt und kann nur positives berichten. Es erfüllt seinen Zweck hervorragend. Der Schweiß wird gut nach außen befördert.

Preis-Leistung:
Ich finde, dass Nike hier ein Sportshirt von sehr guter Qualität, zu einem mehr als fähren Preis bietet. Verkauft wird es hier in desem Fall von Amazon, deshalb berücksichtige ich hier den Verkaufspreis bei Amazon.

Fazit:
Ein sehr gutes Sportshirt, was seinen mehr als fähren Preiss, mehr als wert ist. Und das bei einem Nike-Produkt zu schreiben, empfinde ich nicht als selbstverständlich. Ich bereue den Kauf keinesfalls und kann das Produkt guten Gewissens weiterempfählen.
Ich hoffe ich konnte helfen. Über ein „hilfreich“ würde ich mich freuen.","5,0 von 5 Sternen","",""
"1582056454-2717","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jakob","Super visible","2. August 2017","Super visible even when it gets dim outside. Fits very comfortable (70kg, 1.87m, male) - not too thight, but also not too lose. A few cm of fabric to stretch pretty  much all around.

Looses a few fibres when first wearing it, but besides that - awesome. Color matches great with GORE Mythos Race Shorts in black (they have a yellow stripe on the side) and TaoTronics green bluetooth headset (slightly different shade, but very close).","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1582056445-2683","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","FischWanda","Gutschein nach Rücksendung","5. Mai 2019","Nachdem die Grösse L doch zu gross war, wurde das Shirt erneut in Grösse M bestellt. Jetzt passt es super. Doch leider gab es für die Rücksendung nur einen Amazon Gutschein, was meiner Meinung nach ein absolutes no go ist! Wenn das jetzt ein grösserer Betrag gewesen wäre, hätte ich jetzt einen Gutschein von mehrere hundert Euro erhalten, nachdem ich die waren bereits in passender grösse Bestellt habe?!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1582056454-2715","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Christian Wengler","Qualität eher mäßig","8. Juni 2018","T-Shirt ist deutlich länger als gängige Shirts von Nike oder anderen Herstellern. Eignet sich daher auch zum Radfahren.
Habe das Shirt wegen des niedrigen Preises gekauft. Allerdings ist die schlechte Qualität doch deutlich zu sehen und zu spüren.
So dünner Stoff, man kann von innen durch das Shirt gucken. Stört mich persönlich nicht, wer macht das schon!?! Jedoch sind bereits nach 5x Tragen und Waschen einige Löcher und Maschen im Shirt. Das ist mir bei Shirts für 5-10 € mehr bisher nicht passiert. Befürchte, dass ich das Teil bald nur noch als Putzlappen verwenden kann. Also lieber mehr Geld für mehr Qualität in die Hand nehmen!","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1582056442-2677","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Niclas","Qualitativ schlecht","20. Juli 2019","Ich bin mir nicht wirklich sicher, ob ich hier ein ""Original Produkt"" erwischt habe. Das Logo und die Etiketten sehen zwar ""authentisch"" aus, allerdings fühlt sich der Stoff verhältnismäßig dick an und wirkt nicht besonders atmungsaktiv. Bei Sonnenschein ist das Tragen schon fast unangenehm.

Hinzu kommt, dass das Shirt bereits nach der ersten Wäsche Löcher auf einer Ärmelseite aufweist. Das kommt definitiv nicht durch die Waschmaschine und ist meiner Meinung nach auf die Verarbeitungsqualität zurückzuführen.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1582056457-2728","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Don Marco","Tolles Trainingsshirt","23. Dezember 2019","Die Lieferung erfolgte wie immer sehr schnell. Das Shirt lässt sich angenehm tragen und die Atmungsaktivität ist auch für mein empfinden sehr gut. Die Qualität ist wie von NIKE gewohnt. Alles in allem, eine tolles Trainingsshirt!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1582056442-2676","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","T. Yilmaz","Perfekt für Sport, FItness und co.","2. Juli 2019","Das Trainingsshirt von Nike kommt im Fitnessstudio zum Einsatz.

Die Passform ist sehr angenehm, auch wenn es auf Anhieb vielleicht etwas zu eng erscheint, fühlt man sich darin wohl und es schnürt nicht ein beim Sport.

Das Tshirt ist sehr Atmungsaktiv und trocknet schnell wieder. Auch bemerkt man nicht, dass das Tshirt während des Trainings voll geschwitzt wird.

Vom Aussehen her ist es ziemlich modern geschnitten und man kann auch ohne Bedanken in der Freizeit und Außerhalb der Trainingshalle blicken lassen.

Top Preis-Leistungsverhältnis. Bereits nochmals in Rot bestellt!","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1582056451-2708","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Michaela","Keine Qualität","13. August 2018","Ich schreibe diese Rezension, weil ich von dieser Nike Short doch sehr enttäuscht bin. 2. mal gewaschen und die dunkelblaue Farbe ist jetzt schon sehr rotstichig. Spricht nicht für Qualität!!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/NIKE-Herren-Kurzarm-Trikot-Park/product-reviews/B01HI0R8VS/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
