web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582057018-3470","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","RiftOut","Guter Sound für zwei Jahre","17. November 2018","Die Panasonic RP-HJE125-KI Kopfhörer haben einen guten Klang, eine normale Kabellänge und ein gutes Tragegefühl. Schwach finde ich allerdings, dass einer der Kopfhörer sich bereits nach zwei Jahren an der Klebestelle gelöst hat und somit auseinandergefallen ist. Soundtechnisch für den Preis sind die Kopfhörer super.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=critical&pageNumber=5&reviewerType=all_reviews"
"1582057013-3453","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Oswald Brotschinsky","Ganz ok","25. Dezember 2019","Also ich habe schon bessere Plugs für das Geld gehabt. Aber sie machen immerhin einen robusten Eindruck.
In meinen Ohren passen sie nicht so gut bzw. fühlen sich etwas zu dick und zu hart an.
Die Klangqualität ist bei dem Preis ganz ok. Ich benutze sie aber am Handy zum Video gucken. Wer damit Musik hören will, könnte schnell enttäuscht sein.
Noise-cancelling haben sie in dieser Preisklasse natürlich nicht.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=critical&pageNumber=3&reviewerType=all_reviews"
"1582057010-3444","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Dang Ngg","Sound/Bass top, Haltbarkeit eher 0815 low-key","15. August 2018","Sound/Bass sehr gut für kleine in ears, vor allem die Passform ist immer wieder erstaunlich gut, allerdings macht mir die Haltbarkeit große Sorgen. Das Vorgänger Modell, welches man leider nicht mehr bestellen kann, hielt stabil über mehrere Jahre. War super zufrieden, vor allem für den Preis. Diese hingegen fingen schon nach kürzester Zeit an, beim einstecken der Kopfhörer zu rauschen. Gefällt mir überhaupt nicht, daraufhin muss ich an der klinke etwas herum spielen und dann geht's auch meistens. So ne Problematik schon in diesen kurzen Zeitraum wirkt eher sehr enttäuschend, zumindest wenn man davor den top Vorgänger hatte. Für mich leider nicht mehr empfehlenswert, allerdings habe ich mir 2x davon besorgt, vielleicht ist es ja ne Ausnahme gewesen und das zweite Ding wirkt wunder :)","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=critical&pageNumber=2&reviewerType=all_reviews"
"1582057031-3522","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","CoCo","Nicht überzeugend","8. Oktober 2019","Kabel ist störrisch. Tonquali ausreichend. Passform unangenehm. Würde ich trotz des Preises nicht mehr nehmen.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057031-3525","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Karin","Toller Sound aber schon kaputt","28. August 2018","Klasse Sound, vor allem für den Preis!
Leider hatte ich nach sehr sehr kurzer Zeit schon ein Wackelkontakt - rechts höre ich fast nie was. Nur wenn ich den Stecker auf den Millimeter genau in die richtige Position bringe, höre ich rechts was.
Wäre der Wackelkontakt nicht, wäre es wirklich ein super Produkt zu nem super Preis. So sind sie für mich aber leider nutzlos.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057031-3526","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Gloria Puscher","Nach 2 Wochen funktioniert nur noch eine Seite","8. Juni 2019","Ich habe diese Kopfhörer jetzt schon ein paar Mal bestellt. Dass sie nicht ewig halten, ist bei der Preisklasse nicht überraschend und hat mich nie gestört. Es ist irgendwann immer eine Seite ausgefallen, hat aber immer einige Monate gedauert, bis das passiert ist.
Dass es jetzt nach 2 Wochen passiert ist, ist überraschend und unfassbar ärgerlich.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=critical&pageNumber=10&reviewerType=all_reviews"
"1582057013-3454","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Patrick Preiß","Kabelbruch in 3,2,1...","9. August 2017","Ich besaß schon einmal ein Panasonic Modell in derselben Preisliga, habe es aber leider verloren. Dass 10-Euro-InEars irgendwann mal einen Kabelbruch erleiden, ist natürlich im Preis mit miteinkalkuliert. Da wird am Material gespart und reparieren kann der Laie und Schnäppchenjäger eh vergessen. Aber dass das schon nach 1 1/2 und pfleglicher Behandlung passiert finde ich bemerkenswert. Geplante Obsoleszenz auf ganz hohem Level!

""Pflegliche Behandlung"" meint übrigens: das Kabel nie geknickt, sondern gerollt. Der Stecker oder die zusammengerollten Kopfhörer waren nie in der Hosentasche, immer außerhalb. Es gab m.W. keine Zugkraft am Kabel, die einen Bruch provoziert haben könnte, da der eingesetzte MP3 Player nur 16 g wiegt.Mein älteres Panasonic Modell hat das alles über sich ergehen lassen. Wüsste ich die Modellnr. noch, hätte ich auch lieber die bestellt.

Da ich am falschen Ende gespart habe gibt es noch 3 Sterne, da der Kopfhörer sehr gut für seine Preisklasse klingt. Wer etwas langlebiges sucht, sollte sich nach etwas anderem umschauen.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=critical&pageNumber=3&reviewerType=all_reviews"
"1582057024-3490","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Der S.","Schlechte Verarbeitung - Kabelbruchgefahr","11. November 2018","Der Kopfhörer wurde zum Trainng verwendet und hat nach bereits nach wenigen Benutzungen einen Kabelbruch hinter dem Stecker erlitten. Dies wurde zuvor von einigen kritischen Rezensionen bereits angemerkt, aber ich habe mich trotzdem von den positiven Bewertungen leiten lassen - Fehler!

Ein so schneller Kabelbruch zeugt definitiv nicht von Qualität. Da hilft auch nicht der angewinkelte Stecker, wenn das Material so minderwertig ist.

Eine Kaufempfehlung gibt es von meiner Seite her nicht - auch wenn die Tonqualität in Ordnung ist.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews"
"1582057024-3497","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Lara B","in Ordnung","19. Februar 2019","Ich habe günstige Kopfhörer gesucht, da ich meine ständig kaputt mache. Für den Preis sind sie ok. Man darf da wirklich keine Premium Qualität und Tragekomfort erwarten. Bei mir fallen sie leider ständig aus dem Ohr. Daher nicht für den SPort gemacht","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews"
"1582057026-3507","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","M. Lehmann","Klang sehr gut","30. April 2018","Für den Preis absolut okay. Die Kabel sind allerdings sehr dünn und was ich leider übersehen habe, da ich es hauptsächlich am Smartphone nutze, es gibt keinen Lautsprecher. Für mich sind sind eh nur als Übergangsversion in Gebrauch daher okay.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Panasonic-RP-HJE125E-K-Ohr-Kopfh%C3%B6rer-Pass-St%C3%BCcke-10-24-000/product-reviews/B00CBU0IV8/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=critical&pageNumber=8&reviewerType=all_reviews"
