web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582055869-1357","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Bastian","viel zu laut","18. Januar 2016","Die Funktion an sich ist einwandfrei, aber das Teil ist so laut das ich sie so gut wie nie benützen kann da ich sonst alle aufwecke.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=critical&pageNumber=15&reviewerType=all_reviews","null"
"1582055882-1395","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Helene Franzen","Kleine Aussetzer","5. Januar 2017","Habe die Zahnbürste seit ca. 3 Wochen im Gebrauch. Meine alte ist defekt. Die neue hat ein deutlich besseres Reinigungsergebnis, jedoch hat sie immer wider kleine Aussetzer. Ich weiß nicht,ob es an meiner Handhabung liegt, oder ob die Zahnbürste nich in Ordnung ist.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=critical&pageNumber=19&reviewerType=all_reviews","null"
"1582055866-1344","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Gerald Fetz","Zahnbürste","16. April 2019","Hat nicht funktioniert","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=critical&pageNumber=14&reviewerType=all_reviews","null"
"1582055857-1312","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Hannah","Akku sehr großer Minuspunkt","16. Januar 2019","Für den Preis eine super Zahnbürste, leider machte der Akku nach ein paar Monaten Nutzung schon immer schneller schlapp. Außerdem verdreckt die Zahnbürste sehr leicht in den kleinen Ritzen, trotz regelmäßigem abspülen.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=critical&pageNumber=11&reviewerType=all_reviews","null"
"1582055841-1276","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Scherfling","Erfahrung mit Oral B Zahnbürsten.","5. Januar 2016","Heute die Lieferung von zwei Geräten erhalten.Alles gut verpackt.Die Elektrische Zahnbürste hat eine gute Qualität.Meine ersten Elektrischen Zahnbürsten von Oral B hielten mehr als drei Jahre ohne Probleme. Es waren die gleichen wie diese. Jetzt ist der Akku fertig und schwächelt. Deswegen mussten jetzt neue her. Enttäuschen war das beim auspacken ,die Zahnbürsten waren Orginal verpackt ,eine Aufsteckbürste fehlte. Leider keine gute Endkontrolle beim Verpacken. Deswegen zwei Sterne Abzug.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews","null"
"1582055876-1374","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","MakaMaka","Bitte - was soll das sein - eine Zahnbürste?","4. Mai 2018","Aufgrund der zahlreichen guten Rezensionen habe ich mich für dieses Modell von Oral-B entschieden.
Umso erstaunter war ich, welches Produkt ich nun gestern in den Händen hielt. Die Zahnbürste ist klapprig
verarbeitet, der Bürstenkopf steckt irgendwie nicht fest auf dem Aufsatz. Der Akku war komplett entladen und
brauchte über 20 Stunden für die erste Aufladung.
Das schlimmste aber: Die Zahnbürste macht einen solchen Krach + das Rotieren des Bürstenkopfes ist
äußerst unangenehm und viel zu stark, so dass ich diese Zahnbürste nicht benutzen kann.
Der erste und einzige Versuch war einfach nur schmerzhaft, unangenehm und von der Geräuschkulisse her
vollkommen unakzeptabel. Das dieses Produkt das Testsiegel ""Sehr gut"" trägt, ist mir ein komplettes Rätsel.
Auch die überwiegend guten Rezensionen kann ich mir nicht erklären.
Es ist für mich schwer vorstellbar, dass sich anscheinend tausende Menschen morgens dieses ""Ding"" in
den Mund stecken und dabei ein positives Gefühl haben, während der gesamte Kopf vibriert.
Meine Zahnbürste wandert nun leider als Ersatz-Zahnbürste für Notfälle in die Schublade.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=critical&pageNumber=17&reviewerType=all_reviews","null"
"1582055831-1232","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","R.Gruber","Bereits nach einem Jahr defekt...","5. Dezember 2017","Die hier Angebotene Oral-B Zahnbürste der 600er Serie hat sich anfangs als sehr solide und alltagstaugliche Zahnbürste bewährt. Leider war dies nur von kurzer Dauer... Nach ca. einem Jahr gab diese den Geist auf und musste gegen eine neue ausgetauscht werden!","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=critical&pageNumber=3&reviewerType=all_reviews","null"
"1582055843-1282","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Akkus miserabel","1. Juni 2018","Putzet agnz gut aber sind leider kaum zu gebrauchen. Beide Akkus halten oft nicht mal für einmal Zähneputzen. Die alte Braun hat tagelang gehalten","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=critical&pageNumber=8&reviewerType=all_reviews","null"
"1582055866-1347","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Max Laimann","Okay","13. Januar 2018","Der Akku lässt sehr schnell nach leider. Ansonsten nicht schlecht. Die Akkulaufzeit sind maximal 3 Tage nicht wie angegeben aber das geht klar.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=critical&pageNumber=14&reviewerType=all_reviews","null"
"1582055841-1271","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Gut aber mit Einschränkungen","26. April 2017","Leider ist der Akku immer sehr schnell leer, bei meinem Billigmodel vorher lief der Akku deutlich länger. Auch Vibration nach einer gewissen Putzzeit kaum merklich.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews","null"
"1582055876-1379","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Julia Paschke","Akku Schrott- Zahnbürste kam bereits tiefentladen an","16. Januar 2018","Ich habe mir bereits zum 3. Mal eine Braun Zahnbürste bestellt. Leider hielt diese nie lange. Die erste Zahnbürste hielt 4 Monate danach war der Akku defekt, die 2 habe ich nach einer Woche zum Glück wieder zurückschicken können, da wieder der Akku nur 1 Tag hielt. Bei dieser Bestellung kam die Zahnbürste bereits im voll entleerten Zustand an. Wie man weiss ist das ein K.O. für so eine Zahnbürste. Geht leider auch wieder zurück. Ich bin sehr enttäuscht, da ich unbedingt eine Zahnbürste mit runden Aufsatz haben wollte. Aber nach 3 Bestellungen werde ich es wohl nicht mehr mit Braun versuchen. So ein Hersteller sollte es doch hinbekommen einen Akku einzubauen, der länger als ein paar Tage/Monate hält. Und ja ich habe die Bedienungsanleitung gelesen, korrekt angeschlossen, lange genug geladen und richtig geputzt.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=critical&pageNumber=17&reviewerType=all_reviews","null"
"1582055863-1332","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","ehsan gholami","Es dreht sich nicht nur seine Vibration. Fälschung!","4. Mai 2019","Es dreht sich nicht nur seine Vibration. Fälschung!","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=critical&pageNumber=13&reviewerType=all_reviews","null"
"1582055833-1249","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Andreas Kleis","Schlechte Qualität","26. Februar 2018","Das Gerät beginnt zu Rosten an der Antriebsverbindung schon nach 3 Wochen nutzung das finde ich nicht gut und hoffe auf Umtausch","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=critical&pageNumber=4&reviewerType=all_reviews","null"
"1582055896-1447","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Amazon Kunde","Ansicht gute Zahnbürste aber mit miserabler Akku Qualität","18. Juli 2018","Die Zahnbürste war Ansicht gut und hat ihren Job eigentlich solide erledigt. Aber der Akku ist echt ein Witz und macht dieses Ding für eine langfristige Zahnbürste unbrauchbar. Ich habe die Zahnbürste vor ca 5 Monaten erhalten und sie schafft jetzt nur noch 2-3 Anwendungen obwohl sie normalerweise mit vollgeladenen Akku 14 Stück schaffen sollte (7 á 2min). Wenn man schon 2-3 Jahre Garantie für die Zahnbürste gibt, dann sollte der Akku auch anständig sein.
Das Problem mit dem Akku ist denke ich kein Einzelfall, da viele Rezensionen auch von diesem Problem berichten.
Und wenn Leute kein Gebrauch von der Garantie oder gesetzlichen Gewährleistung machen und sich stattdessen ein neues Produkt kaufen freut es das Unternehmen natürlich umso mehr.
Vorallem habe ich die Zahnbürsten meistens nur 1x täglich genutzt, hätte ich sie öfter benutzt wäre sie vielleicht noch schneller defekt geworden.
Also lieber Finger weg wenn ihr auf eine längerfristige Zahnbürsten setzt!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=critical&pageNumber=24&reviewerType=all_reviews","null"
"1582055905-1472","https://www.amazon.de/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&filterByStar=critical&reviewerType=all_reviews&pageNumber=1#reviews-filter-bar","Kalauer","Nicht empfehlenswert","7. Dezember 2016","Die Problem dieser Zahnbürste sind ständige Wackelkontakte, unzuverlässige Aufladung der Akkus, das Warnsignal, das auf einen fast leeren Akku hinweist, leuchtet, NACHDEM die Bürste schon nicht mehr funktioniert … Die positiven Meldungen kann ich nicht nachvollziehen.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Oral-B-600-CrossAction-Elektrische-Zahnb%C3%BCrste/product-reviews/B00KBWBPRY/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=critical&pageNumber=27&reviewerType=all_reviews","null"
