web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1582056056-1897","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jerry Brown","Super Gerät","26. August 2016","Wenn man wie  ich vom Apple Iphone kommt, stellt man sofort fest, daß die Bedienung von Android wesentlich intuitiver ist.
Auch das Gerät als solches erfüllt meine Erwartungen zu 100 Prozent.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&reviewerType=all_reviews"
"1582056226-2497","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","hedeg","Feuchtesensor defekt nach vier Monaten Betriebszeit","7. Januar 2018","Nach 4  Monaten ist der Feuchtesensor defekt,  Er signalisiert , das Laden nicht möglich sei, weil  Feuchtigkeit erkannt wurde.
Das Handy ist nie feucht gewesen, hatte null Kontakt mit Wasser. Eine  Datensicherung ist nicht mehr möglich, weil der Akku erschöpft ist.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_98?ie=UTF8&pageNumber=98&reviewerType=all_reviews"
"1582056221-2483","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Eugen","Top Handy mit zwei Schwächen.","14. August 2017","Sehr gutes Smartphone macht tolle Bilder und ist schnell und lässt sich in einer Stunde mit dem entsprechenden Aufladegrät aufladen. Bis auf dem fest verbauten Akku was leider Standard geworden ist alles zufrieden stellend. Da ist aber leider noch ein Elefant im Raum und zwar das Smartphone S7 hat ein gebogenes Display und ein geeignetes Panzerglas zu finden,  ist nahe zu unmöglich. In 4 Monaten 4 Gläser getauscht, bei einem nicht vollständig abdeckenden Glas ist mir von 50 cm Entfernung auf den Asphalt gefallen und zwar genau auf die Kante seit dem ein Bruch in der Scheibe.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&reviewerType=all_reviews"
"1582056001-1720","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Kunde","Top Handy","12. Dezember 2018","Habe mir das Handy zum zweiten mal geholt. Bin bisher sehr zufrieden :)","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1582055966-1585","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Miles","S7 glänzt mit Bootschleife","24. Oktober 2019","Nach 2 Monaten Bootschleife , kein Reset, keine Werkseinstellungen möglich. Außerdem keine Garantie bei diesem Anbieter und Verkäuferkommunikation katastrophal.
Für mich erstmal Galaxy S7 nein Danke, vielleicht auch nur Montagsmodel?! Somit 305€ abschreiben :(","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1582056208-2442","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tom Jerry","Tolles Handy","2. Mai 2017","Es gibt nicht viel zu schreiben, alles gut. Die gläserne Rückseite ist jedoch recht kratzempfindlich und sollte mit Hülle geschützt werden.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_92?ie=UTF8&pageNumber=92&reviewerType=all_reviews"
"1582055937-1475","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Adrian","ACHTUNG!!! BETRUG!!! AUSLÄNDISCHE FIRMWARE!!!","16. April 2019","Es wurde hier bereits in vielen Kommentaren bemerkt, der Hauptgrund warum Amazon das Handy so billig verkaufen kann, ist dass es sich bei den Handys um Modelle handelt die nicht für den deutschen / europäischen Markt produziert und auch nicht geeignet sind!!! Ich habe das Handy in genau dieser Erwartung bestellt und - siehe da - das Modell für den amerikanischen Markt!!!
Es lässt sich ganz leicht herausfinden, für welchen Markt das Handy optimiert ist:
Geht unter Einstellungen > Telefoninfo und guckt euch die Modellnummer an
da müsste stehn ""SM-G930FZKADBT bzw. SM-G930F"" - Das ist die brandingfreie europäische Version - UND SO STEHT ES AUCH IN DER BESCHREIBUNG
Mein Handy hat den Code ""SM-G930T1"" -> Das ist die Amerikanische Firmware von Qualcomm und diese ist nicht für das deutsche Netz geeignet!!!!
Ich werde das Handy zurücksenden und eins mit dem Code aus der Beschreibung verlangen - DAZU HABT IHR JEDES RECHT!!!
Wenn Ihr euch trotzdem eins dieser Handys bestellt, prüft unbedingt die Firmware und TAUSCHT ES GEGEN EIN EUROPÄISCHES MODELL EIN!!!
LEGT DIESEN BETRÜGERN DAS HANDWERK!!!","1,0 von 5 Sternen","",""
"1582056195-2379","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Paladin","Nicht ganz Top","15. März 2017","+ Super schnell
+ Tolles Display (Helligkeit und Farben)
+ Wasserdich
+ 32 GB + max. 200 GB Sd Speicher
+ Grandiose Kamera, der super schnelle Focus ist der Hammer

- Akkulaufzeit ist sehr schwach ich habe am Ende des Tages bei geringer Nutzung, 8 Stunden Flugmodus und aktivem Energiesparmodus gerade mal 40% Energie übrig.
- für mich etwas zu groß
- Ich finde den Kopfhöreranschluß an der Unterseite extrem ungünstig positioniert
- ebenso ist die Positionierung der Lautstärketasten gegenüber der Standbytaste totaler Mist denn man schaltet des öfteren das Display aus wenn man die Lautstärke regelt.","4,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_89?ie=UTF8&pageNumber=89&reviewerType=all_reviews"
"1582055961-1567","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","K82","Screen turns black after a year (2nd device)","28. Dezember 2019","Guys, do NOT buy this phone.. I bought it twice over the last years and now both screens are damaged! I cannot use the phone anymore.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1582056094-2014","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Andreas","Neuer Smartphone Spitzenreiter mit toller Ausstattung!","22. März 2016","Vorweg: Ich bin begeistert;-) Das S7 hat mich rundum überzeugt. Es hat einige wirklich gute Verbesserungen zum S6. Ich habe das normale S7 und meine Freundin das S7 Edge. Ich habe mich wegen der Displaygröße von 5,1 Zoll für das normale S7 entschieden, da das Edge 5,5 Zoll hat.

Ich möchte mich kurz fassen, damit ihr nicht stundenlang lesen müsst'eure Zeit ist mit dem S7 besser verbracht;-)

Positives:

- Design, abgerundete Kanten auf der Vorder- und Rückseite, die Rückseite ist auch aus Glas.
  Ich finde das S7 hat ein zeitlos elegantes Design. Absoluter Pluspunkt.

- Akku, mit 3.000 mAh. Bei mir hält der Akku über einen Tag trotz Vielbenutzung mit surfen,
  Videos schauen, Musik hören, whatsappen und noch mehr. Nach ungefähr 1,5 Tagen muss ich ihn wieder aufladen.

- Display, hohe Auflösung mit 2560x1440 Pixeln, hoher Kontrast, perfektes Schwarz, kräftige Farben. Das Display finde ich hervorragend!

- Hardware, HighEnd Prozessor mit 4GB Ram. Definitiv oberer Anschlag in der Leistung bei Smartphones.

- Kamera, ist absolute Spitzenklasse. Schneller Autofokus und die fantastische Bildqualität auch wenn es dunkel ist haben mich auf voller Linie
  überzeugt!

- Fingerabdrucksensor, entspanntes freigeben ohne Code. Habe vorher keinen Code oder Muster verwendet weil es zeitaufwändig war,
  doch die Freigabe mit dem Fingerabdrucksensor hat mich überzeugt.

- Wasserdicht, habe mein Galaxy S7 mit einem flauen Gefühl in die Badewanne eingetaucht und funktioniert problemlos weiterhin.

- QI/kontaktloses Laden, tolle Komfortfunktion, die ich nicht mehr missen mag. Kein Kabel ein und ausstecken. Super.

- Micro SD Steckplatz, bis 200GB sind möglich. Habe eine 128GB Karte eingelegt. Mir  persönlich geht es extrem auf die Nerven, ständig etwas
  zu löschen, weil z.B. 32GB Speicherplatz voll mit.  Mit der 128GB Karte habe ich die nächsten Jahre ausgesorgt:-)

Negatives:

- Sound, die Platzierung an der Unterseite ist nicht optimal gelöst. Manchmal verdecke ich die Lautsprecher mit den Fingern.
  Das hat HTC mit den One Handys M7, M8 und M9 deutlich besser bzw. optimal gelöst. Auch klingen die Boomsound Lautsprecher
  der HTC besser. Ich besitze auch ein HTC M7 und ein M9, die ich als Vergleich dazuziehe.

- kein Akkutausch einfach so möglich, das muss aber jeder für sich selber entscheiden, wie schwer das für einen wiegt.

Fazit:

Das S7 ist ein absolutes Top Smartphone, welches in fast allen Bereichen absolute Spitze ist. Ich bin sehr zufrieden und kann es nur empfehlen!

Ich freue mich sehr, wenn meine Rezension hilfreich für sie war.","5,0 von 5 Sternen","Weiter→","https://www.amazon.de/Samsung-Galaxy-Smartphone-interner-Speicher-Black/product-reviews/B01BTZFM0W/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&reviewerType=all_reviews"
