web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,
"1582056712-3222","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Kai-Sven F.","Müll","1. Januar 2020","Müll","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=critical&pageNumber=49&reviewerType=all_reviews","null"
"1582056717-3250","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Uwe","Leider enttäuscht","13. Dezember 2018","Ich habe die Kopfhörer gekauft, da meine alten nach über einem Jahr kaputt gegangen sind. Optisch gesehen wirken sie ansprechend und hochwertig. Vom Klangbild her bringen sie guten Bass rüber und die Töne werden gut wiedergegeben. Zum Musik hören verschiedener Richtungen sind sie gut geeignet. Auch die Bedientasten und das Mikrofon funktionieren gut.

Jedoch überwiegen für mich die negativen Punkte. So sind beim Bewegen des Kabels teilweise starke Geräusche zu hören, wenn man die Kopfhörer gerade benutzt. Weiterhin stören die hörbaren Windgeräusche wenn man zB Sport macht. Keines der mitgelieferten Aufsätze für die Kopfhörer verhindert, dass ich fast ständig einen der beiden Kopfhörer erneut ins Ohr reinstecken muss, da sie ständig rausfliegen. Zudem ist nach nicht einmal zwei Monaten bereits einer der beiden Hörer deutlich leiser als der andere. Habe noch nie Kopfhörer gehabt, welche nach so kurzer Zeit bereits nicht mehr richtig funktionieren. Für mich leider nicht weiterzuempfehlen, auch wenn sie günstig sind.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&filterByStar=critical&pageNumber=51&reviewerType=all_reviews","null"
"1582056744-3296","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Clemens Rath","Schlechte Sprachqualität.","8. Juni 2019","Das Headset hat eine schlechte Sprachqualität. Ich werde das nächste mal doch wieder mehr ausgeben und ein Markengerät kaufen. Wer billig kauft, kauft zwei mal :-(","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&filterByStar=critical&pageNumber=56&reviewerType=all_reviews","null"
"1582056587-2798","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Pas Bo","totaler müll - vorsicht billiger betrug","17. Juni 2019","habe die kopfhörer nur zwei tage ingseamt paar stunden aufgehabt. am dritten tag, war der rechte kopfhörer schon kaputt und konnte nur musik aus dem linken kopfhörer hören.
finger weg von dem dreck!","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=critical&pageNumber=6&reviewerType=all_reviews","null"
"1582056666-3071","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Julia","mittel","16. Dezember 2019","Tonqualität und Lautstärke gut, doch leider ging nach kurzer Zeit nur noch ein Ohr","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=critical&pageNumber=34&reviewerType=all_reviews","null"
"1582056638-2964","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Tut nach ner Zeit weh und gehen schnell kaputt wenn man viel musik hört","13. August 2019","Mir fehlen stöpsel zum auswechselen...
Nur 3 sterne da die kopfjörer nach einiger zeit anfangen weh zu tun und nach öfteren raus und rein stöpseln eine seite nicht mehr funktioniert aber die ton qualität ist top.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=critical&pageNumber=23&reviewerType=all_reviews","null"
"1582056589-2810","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Lennart Scharmann","Geht in unter einem Monat kaputt","28. Juni 2019","Innerhalb von 3 Wochen begann ein Wackelkontakt, nach 4 Wochen kein Ton mehr. Hab mir die selben nochmal geholt, jetzt stellt sich der linke Kopfhörer andauernd sehr leise ein, was das Benutzen unerträglich macht. Bei Sport und leichtem Regen spinnt der Knopf, sodass die Songs andauernd pausieren. Ab und zu stellt sich die Lautstärke auf das Maximum oder Minimum, während dem Sport konnte ich die Kopfhörer daher gar nicht benutzen.

Daher rate ich vom Kauf klar ab.","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=critical&pageNumber=7&reviewerType=all_reviews","null"
"1582056604-2857","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Oliver Schwanz","Gerade so ok ...","21. Mai 2019","Verarbeitung scheint soweit ok zu sein, aber der Klang ist von einem ziemlich blechernen Hall geprägt. Hörbuch hören macht keinen Spaß, weil es Klingt, als würde der Sprecher in einem großen leeren Metallcontainer am anderen Ende sitzen.","3,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=critical&pageNumber=12&reviewerType=all_reviews","null"
"1582056655-3031","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Finn W.","Nach zwei Monaten kaputt","9. Februar 2020","Nach zwei Monaten war der rechte Kopfhörer sehr leise, bis nach einen weiteren Monat beide so leise waren dass man kaum was hören konnte.","2,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&filterByStar=critical&pageNumber=30&reviewerType=all_reviews","null"
"1582056648-3005","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical&pageNumber=1","Amazon Kunde","Kaum benutzt und schon kaputt","9. Juli 2019","Habe die Kopfhörer im April gekauft und jetzt (Juli) geht bereits der rechte Kopfhörer nicht mehr. Da haben andere Kopfhörer für den selben Preis länger gehalten","1,0 von 5 Sternen","Weiter→","https://www.amazon.de/Gritin-Kopfh%C3%B6rer-Metallisches-Ohrst%C3%B6pseln-Smartphones/product-reviews/B07BWHHBST/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=critical&pageNumber=27&reviewerType=all_reviews","null"
